frame,time,bpm,fps,
1,0,
2,66,
3,132,
4,199,
5,265,
6,331,
7,398,
8,464,
9,530,
10,597,
11,663,0,16.5913,90.4977,,90.4977,
12,729,0,16.4609,82.3045,,82.3045,164.609,
13,796,0,16.3317,75.3769,,75.3769,150.754,
14,862,0,16.2413,69.6056,,69.6056,139.211,
15,928,0,16.1638,64.6552,,64.6552,129.31,
16,995,0,16.0804,120.603,,120.603,
17,1061,0,16.0226,113.101,,113.101,169.651,
18,1128,0,15.9574,106.383,,106.383,159.574,
19,1194,0,15.9129,100.503,,100.503,150.754,
20,1260,0,15.873,95.2381,,95.2381,142.857,
21,1327,0,15.8252,90.4295,,90.4295,135.644,
22,1393,0,15.7933,86.145,,86.145,129.218,172.29,
23,1459,0,15.7642,82.2481,,82.2481,123.372,164.496,
24,1526,0,15.7274,78.637,,78.637,117.955,157.274,
25,1592,0,15.7035,75.3769,,75.3769,113.065,150.754,
26,1658,0,15.6815,72.3764,,72.3764,108.565,144.753,
27,1725,0,15.6522,69.5652,,69.5652,104.348,139.13,173.913,
28,1791,0,15.6337,67.0017,,67.0017,100.503,134.003,167.504,
29,1857,0,15.6166,64.6204,,64.6204,96.9305,129.241,161.551,
30,1924,0,15.5925,93.5551,,93.5551,124.74,155.925,
31,1990,0,15.5779,90.4523,,90.4523,120.603,150.754,
32,2056,0,15.5642,87.5486,,87.5486,116.732,145.914,175.097,
33,2123,0,15.544,84.7857,,84.7857,113.048,141.309,169.571,
34,2189,0,15.5322,82.2293,,82.2293,109.639,137.049,164.459,
35,2256,0,15.5142,79.7872,,79.7872,106.383,132.979,159.574,
36,2322,0,15.5039,77.5194,,77.5194,103.359,129.199,155.039,
37,2388,0,15.4941,75.3769,,75.3769,100.503,125.628,150.754,175.879,
38,2455,0,15.4786,73.3198,,73.3198,97.7597,122.2,146.64,171.079,
39,2521,0,15.4701,71.4002,,71.4002,95.2003,119,142.8,166.601,
40,2587,0,15.4619,69.5787,,69.5787,92.7716,115.964,139.157,162.35,
41,2654,0,15.4484,67.8222,,67.8222,90.4295,113.037,135.644,158.252,
42,2720,0,15.4412,66.1765,,66.1765,88.2353,110.294,132.353,154.412,176.471,
43,2786,0,15.4343,64.6088,,64.6088,86.145,107.681,129.218,150.754,172.29,
44,2853,0,15.4224,63.0915,,63.0915,84.122,105.152,126.183,147.213,168.244,
45,2919,0,15.4162,82.2199,,82.2199,102.775,123.33,143.885,164.44,
46,2985,0,15.4104,80.402,,80.402,100.503,120.603,140.704,160.804,
47,3052,0,15.3997,78.637,,78.637,98.2962,117.955,137.615,157.274,176.933,
48,3118,0,15.3945,76.9724,,76.9724,96.2155,115.459,134.702,153.945,173.188,
49,3184,0,15.3894,75.3769,,75.3769,94.2211,113.065,131.91,150.754,169.598,
50,3251,0,15.3799,73.8234,,73.8234,92.2793,110.735,129.191,147.647,166.103,
51,3317,0,15.3753,72.3545,,72.3545,90.4432,108.532,126.62,144.709,162.798,
52,3384,0,15.3664,70.922,,70.922,88.6525,106.383,124.113,141.844,159.574,177.305,
53,3450,0,15.3623,69.5652,,69.5652,86.9565,104.348,121.739,139.13,156.522,173.913,
54,3516,0,15.3584,68.2594,,68.2594,85.3242,102.389,119.454,136.519,153.584,170.648,
55,3583,0,15.3503,66.983,,66.983,83.7287,100.474,117.22,133.966,150.712,167.457,
56,3649,0,15.3467,65.7714,,65.7714,82.2143,98.6572,115.1,131.543,147.986,164.429,
57,3715,0,15.3432,64.603,,64.603,80.7537,96.9044,113.055,129.206,145.357,161.507,177.658,
58,3782,0,15.3358,63.4585,,63.4585,79.3231,95.1877,111.052,126.917,142.782,158.646,174.511,
59,3848,0,15.3326,77.9626,,77.9626,93.5551,109.148,124.74,140.333,155.925,171.518,
60,3914,0,15.3296,76.6479,,76.6479,91.9775,107.307,122.637,137.966,153.296,168.625,
61,3981,0,15.3228,75.358,,75.358,90.4295,105.501,120.573,135.644,150.716,165.787,
62,4047,0,15.32,74.129,,74.129,88.9548,103.781,118.606,133.432,148.258,163.084,177.91,
63,4113,0,15.3173,72.9395,,72.9395,87.5274,102.115,116.703,131.291,145.879,160.467,175.055,
64,4180,0,15.311,71.7703,,71.7703,86.1244,100.478,114.833,129.187,143.541,157.895,172.249,
65,4246,0,15.3085,70.6547,,70.6547,84.7857,98.9166,113.048,127.179,141.309,155.44,169.571,
66,4312,0,15.3061,69.5733,,69.5733,83.4879,97.4026,111.317,125.232,139.147,153.061,166.976,
67,4379,0,15.3003,68.5088,,68.5088,82.2106,95.9123,109.614,123.316,137.018,150.719,164.421,178.123,
68,4445,0,15.2981,67.4916,,67.4916,80.9899,94.4882,107.987,121.485,134.983,148.481,161.98,175.478,
69,4512,0,15.2926,66.4894,,66.4894,79.7872,93.0851,106.383,119.681,132.979,146.277,159.574,172.872,
70,4578,0,15.2905,65.5308,,65.5308,78.637,91.7431,104.849,117.955,131.062,144.168,157.274,170.38,
71,4644,0,15.2885,64.5995,,64.5995,77.5194,90.4393,103.359,116.279,129.199,142.119,155.039,167.959,
