frame,time,mean,
1,0,1.4822e-323,,
2,66,1.4822e-323,,
3,132,1.4822e-323,,
4,199,1.4822e-323,,
5,265,1.4822e-323,,
6,331,1.4822e-323,,
7,398,1.4822e-323,,
8,464,1.4822e-323,,
9,530,1.4822e-323,,
10,597,0,,
11,663,0,,0,
12,729,0,,0,0,
13,796,0,,0,0,
14,862,0,,0,0,
15,928,0,,0,0,
16,995,0,,0,
17,1061,0,,0,0,
18,1128,88.0205,,0,0,
19,1194,88.0205,,0,0,
20,1260,88.0205,,0,0,
21,1327,88.0205,,0,0,
22,1393,88.0205,,0,0,0,
23,1459,88.0205,,0,0,0,
24,1526,88.0205,,0,0,0,
25,1592,88.0205,,0,0,0,
26,1658,88.7403,,0,0,0,
27,1725,88.7403,,0,0,0,0,
28,1791,88.7403,,0,0,0,0,
29,1857,88.7403,,0,0,0,0,
30,1924,88.7403,,0,0,0,
31,1990,88.7403,,0,0,0,
32,2056,88.7403,,0,0,0,0,
33,2123,88.7403,,0,0,0,0,
34,2189,85.2613,,0,0,0,0,
35,2256,85.2613,,0,0,0,0,
36,2322,85.2613,,0,0,0,0,
37,2388,85.2613,,0,0,0,0,0,
38,2455,85.2613,,0,0,0,0,0,
39,2521,85.2613,,0,0,0,0,0,
40,2587,85.2613,,0,0,0,0,0,
41,2654,85.2613,,0,0,0,0,0,
42,2720,82.5175,,0,0,0,0,0,0,
43,2786,82.5175,,0,0,0,0,0,0,
44,2853,82.5175,,0,0,0,0,0,0,
45,2919,82.5175,,0,0,0,0,0,
46,2985,82.5175,,0,0,0,0,0,
47,3052,82.5175,,0,0,0,0,0,0,
48,3118,82.5175,,0,0,0,0,0,0,
49,3184,82.5175,,0,0,0,0,0,0,
50,3251,80.6546,,0,0,0,0,0,0,
51,3317,80.6546,,0,0,0,0,0,0,
52,3384,80.6546,,0,0,0,0,0,0,0,
53,3450,80.6546,,0,0,0,0,0,0,0,
54,3516,80.6546,,0,0,0,0,0,0,0,
55,3583,80.6546,,0,0,0,0,0,0,0,
56,3649,80.6546,,0,0,0,0,0,0,0,
57,3715,80.6546,,0,0,0,0,0,0,0,0,
58,3782,78.6768,,0,0,0,0,0,0,0,0,
59,3848,78.6768,,0,0,0,0,0,0,0,
60,3914,78.6768,,0,0,0,0,0,0,0,
61,3981,78.6768,,0,0,0,0,0,0,0,
62,4047,78.6768,,0,0,0,0,0,0,0,0,
63,4113,78.6768,,0,0,0,0,0,0,0,0,
64,4180,78.6768,,0,0,0,0,0,0,0,0,
65,4246,78.6768,,0,0,0,0,0,0,0,0,
66,4312,76.3455,,0,0,0,0,0,0,0,0,
67,4379,76.3455,,0,0,0,0,0,0,0,0,0,
68,4445,76.3455,,0,0,0,0,0,0,0,0,0,
69,4512,76.3455,,0,0,0,0,0,0,0,0,0,
70,4578,76.3455,,0,0,0,0,0,0,0,0,0,
71,4644,76.3455,,0,0,0,0,0,0,0,0,0,
